clade_name	clade_taxid	ERR1995252	ERR1995225	ERR1995258	ERR1995217	ERR1995260	ERR1995241	ERR1995236	ERR1995231	ERR1995246	ERR1995267	ERR1995222	ERR1995255	ERR1995228	ERR1995226	ERR1995251	ERR1995263	ERR1995214	ERR1995235	ERR1995242	ERR1995248	ERR1995245	ERR1995232	ERR1995238	ERR1995219	ERR1995213	ERR1995264	ERR1995256	ERR1995221	ERR1995211	ERR1995266	ERR1995229	ERR1995254	ERR1995223	ERR1995247	ERR1995230	ERR1995237	ERR1995240	ERR1995259	ERR1995224	ERR1995253	ERR1995261	ERR1995216	ERR1995265	ERR1995212	ERR1995218	ERR1995220	ERR1995257	ERR1995239	ERR1995233	ERR1995244	ERR1995249	ERR1995243	ERR1995234	ERR1995250	ERR1995227	ERR1995215	ERR1995262
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.90846	2.45358	0	0.00224	0.05301	0.01421	0.00569	0.00568	0.01868	0.44374	7.24998	0.05803	0.51099	2.5129	3.3409	2.33572	0.06426	4.16066	9.5773	0	0.00079	0.10887	0.00183	0.25925	0.09359	1.53441	0.23902	1.01291	0.96976	19.55915	0.19801	1.19409	0.13353	0.05083	0.01075	35.35141	0.00703	0	0.05035	1.02423	0.06935	4.2455	0.0219	0.01839	2.9681	2.89649	3.74349	1.62265	0.00424	0.87307	1.7445	0.16471	5.68053	2.60665	8.44794	11.17596	0.51815
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0	0.01118	0	0.00119	0.00094	0.00832	0.00569	0.00547	0.01868	0	0	0	0.00689	0.00106	0.00154	0.00079	0.0093	0.00361	0.02124	0	0.00079	0	0	0	0.01247	0.00349	0.00284	0.00251	0.00339	0.11044	0.00676	0.00121	0.06669	0.0067	0.00264	0.75731	0.00277	0	0.00246	0.00743	0.00499	0.00078	0.0138	0.01198	0.17313	0.00425	1.87569	0.00438	0.00051	0.00243	0.00027	0.11882	0.00125	0.00067	0.00112	0.00658	0.00732
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0	0.01118	0	0.00119	0.00094	0.00832	0.00569	0.00547	0.01868	0	0	0	0.00689	0.00106	0.00154	0.00079	0.0093	0.00361	0.02124	0	0.00079	0	0	0	0.01247	0.00349	0.00284	0.00251	0.00339	0.11044	0.00676	0.00121	0.06669	0.0067	0.00264	0.75731	0.00277	0	0.00246	0.00743	0.00499	0.00078	0.0138	0.01198	0.17313	0.00425	1.87569	0.00438	0.00051	0.00243	0.00027	0.11882	0.00125	0.00067	0.00112	0.00658	0.00732
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00528	0	0.07051	0	0	0	0	0	0	0	0	0.09023	0	0.04856	0	0	0	0	0	0	0	0.00062	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00528	0	0.07051	0	0	0	0	0	0	0	0	0.09023	0	0.04856	0	0	0	0	0	0	0	0.00062	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0	0.01118	0	0.00119	0.00094	0.00832	0.00569	0.00547	0.01868	0	0	0	0.00689	0.00106	0.00154	0.00079	0.00906	0.00361	0.02124	0	0.00079	0	0	0	0.01247	0.00349	0.00284	0.00251	0.00339	0.11044	0.00676	0.00121	0.06669	0.00143	0.00264	0.6868	0.00277	0	0.00246	0.00743	0.00499	0.00078	0.0138	0.01198	0.08291	0.00425	1.82712	0.00438	0.00051	0.00243	0.00027	0.11882	0.00125	0.00067	0.0005	0.00658	0.00732
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0.0001	0	0	0	0	0.00212	0	0.00488	0	0	0	0.00126	0	0.00076	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104	0	0	0	0	0	0	0	0	0	0	0.00082	0	0	0.28485	0	0	0	0	0	0.00024	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	2|201174|1760|2037|2049|1654|544581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	2|201174|1760|2037|2049|1654|1655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03919	0	0	0	0	0	0	0	0	0	0	0.05234	0	0	0	0	0.00081	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0	0	0	0	0.0005	0	0.00035	0.00178	0	0	0	0	0	0	0.00044	0	0	0.00077	0.00565	0	0	0	0	0	0.00092	0	0	0	0	0	0	0	0	0	0.00031	0.03543	0.0008	0	0	0	0.00141	0	0.00011	0.00084	0.01248	0	0.0506	0.00025	0	0	0	0.04872	0.00055	0	0	0.00281	0.00359
